Rank,  Player
1,  EG.Abed  
2,  23savage.StandWithTH  
3,  TNC.Armel.VKGAM.E  
4,  MG.Trust.Jackky  
5,  TNC.Gabbi.VKGAM.E  
6,  neon.Natsumi-  
7,  vtFαded  
8,  BOOM.Mikoto.Protsenko  
9,  neon.skem.debil_2000
10,  MyPro  
11,  Adroit.Nikko  
12,  Cignal.ABAT
13,  PSG.LGD.NothingToSay  
14,  Fnatic.MooN.Letou  
15,  BOT
16,  Adroit.Mac.Sharksfin  
17,  K
18,  GXR.Destrice  
19,  TNC.TIMS.VKGAM.E  
20,  LGD.int.AhJit  
21,  GXR.` AlaCrity -
22,  inYourdreaM  
23,  neon.Yopaj.Qt  
24,  xsilearn
25,  STAR | .ddz  
26,  ChYuan.SPG  
27,  GXR.Ghost  
28,  drew.Руслан
29,  BeeBie  
30,  496.Bombi  
31,  AG.db-  
32,  GeekFam.Kuku^.LFT  
33,  Todak.enviouS  
34,  Czy  
35,  Hashtag?.KNP ♥  
36,  Fnatic.jabz.Letou  
37,  poloson.kiky  
38,  Fnatic.Masaros  
39,  SZ.TrazaM  
40,  SMO.Skadi  
41,  ThePrime.Azur4  
42,  032.Bok
43,  ..Yowe
44,  Vice.Enryu  
45,  MG.Trust.Fearless  
46,  BKD.Nevermine  
47,  Vice.Bob  
48,  Yanqt
49,  GeekFam.Whitemon  
50,  Todak.QWE  
51,  Yp
52,"  Serenity.roddgeee,  "
53,  paimon
54,  Fnatic.Raven.Letou
55,  MG.Trust.Q  
56,  lft.Deth
57,  AG.Mamang Daya  
58,    
59,  Veteran.Mice
60,  UDV.Madmaid  
61,  SEIREN.Railgun  
62,  chibix  
63,  BOOM.Dreamocel  
64,  citrus
65,  AFterRain-  
66,  IO.Mushi  
67,  LFS.XuAn.大蓝鲸体育
68,  free player
69,  IO.Ohaiyo
70,  SGD.Abeng-
71,496.458
72,  RR .Hustla.LFT  
73,  Bboy  
74,  GeekFam.Xepher.SOJUUUU  
75,  lft.ponlo  
76,  MSC.Seri  
77,  ikan-_-koki  
78,  Vice.LuziFy  
79,  T1.FoREv
80,  Vice.Zenki
81,  Andy  
82,  SMO.Benhur
83,  无名-
84,  YG.Young PH
85,  Young God
86,  Adroit.cml  
87,  EHOME.xNova  
88,  XctN.Rr.英俊^
89,  Cignal.Grimz  
90,  TNC.kpii.VKGAM.E  
91,  Cignal.Jamesy  
92,  YG.ZawRain  
93,  Veteran.rApRaP
94,  TNC.March
95,  NGID.M11.TraVins
96,   .FiXeRs  
97,  MikaeL~
98,  Vinz  
99,  ThePrime.Mydearest  
100,  BOOM.Hyde-..OMEN  
101,  StarLucK.falling  
102,  Adroit.Mcy  
103,  - ah fu -  
104,  496.hunghung
105,  JNova  
106,  Jhocam  
107,  天线宝宝  
108,  neon.Jaunuel  
109,  bestory  
110,  MiKasA`  
111,  GoD
112,  Abi  
113,  X1aOyU
114,  yChen
115,  QO
116,  STAR | .Candyloon  
117,  SMO.Luciano  
118,  MG.Trust.Boombell  
119,  !Attacker  
120,  Vice.Palos  
121,  032.ninjaboogie  
122,  JG  
123,  XctN.BDz
124,  Faker  
125,  VG.P.yogi
126,  UpG.iaGGer  
127,  lee pal
128,  realmheart
129,  R|G..Killua  
130,  ana  
131,  PrincipalCow
132,  SMO.Teehee
133,  big dick  
134,  MSC.ramz?  
135,  Cynic  
136,  `._.U_Mad_Bro`
137,  Wizard
138,  LPE.Tmv  
139,  mob
140,  MisaDota  
141,  XctN.Ken  
142,  AMI.FLYSOLO
143,  Waixi
144,  LFT5.DottMySaviour  
145,  Todak.Denise  
146,  ENTs.zeal  
147,  Mercury
148,  qwerty  
149,  IG.Oli~.Betwαy⊂(　っ☉ω☉)っ  
150,  LPE.Rupido
151,  aria  
152,  sza  
153,  marlin``  
154,  ENTs.Chidori~  
155,  Cignal.Erice.shine  
156,  vtfaded
157,  Apex.Lance  
158,  LJSL.LJSL  
159,  BG.X*Never*Light
160,  R|G..Lis神  
161,  NGID.M11.Despair
162,  DOG.DUDUDU  
163,  dlahk.imgxy
164,  LFT.MoonMoon  
165,  LPE.Hiro
166,  Nasjo  
